Week,Team,Date
1,@Minnesota,2018-09-09 00:00:00
2,vsDetroit,2018-09-16 16:05:00
4,@Los Angeles,2018-09-30 16:25:00
6,@Green Bay,2018-10-15 20:15:00
8,@Arizona,2018-10-28 16:25:00
10,vsNew York,2018-11-12 20:15:00
12,@Tampa Bay,2018-11-25 13:00:00
14,vsDenver,2018-12-09 16:05:00
16,vsChicago,2018-12-23 16:05:00
1,vsDallas,2018-08-09 00:00:00
3,@Indianapolis,2018-08-25 00:00:00
3,@Kansas City,2018-09-23 13:00:00
5,vsArizona,2018-10-07 16:25:00
7,vsLos Angeles,2018-10-21 20:20:00
9,vsOakland,2018-11-01 20:20:00
11,BYE WEEK,BYE WEEK
13,@Seattle,2018-12-02 20:20:00
15,vsSeattle,2018-12-16 16:05:00
17,@Los Angeles,2018-12-30 16:25:00
2,@Houston,2018-08-18 00:00:00
4,vsLos Angeles,2018-08-30 00:00:00
