Week,Team,Date
1,@Green Bay,2018-09-09 00:00:00
2,vsSeattle,2018-09-17 20:15:00
4,vsTampa Bay,2018-09-30 13:00:00
6,@Miami,2018-10-14 13:00:00
8,vsNew York,2018-10-28 13:00:00
10,vsDetroit,2018-11-11 13:00:00
12,@Detroit,2018-11-22 12:30:00
14,vsLos Angeles,2018-12-09 13:00:00
16,@San Francisco,2018-12-23 16:05:00
HOF,@Baltimore,2018-08-02 00:00:00
2,@Denver,2018-08-18 00:00:00
4,vsBuffalo,2018-08-30 00:00:00
3,@Arizona,2018-09-23 16:25:00
5,BYE WEEK
7,vsNew England,2018-10-21 13:00:00
9,@Buffalo,2018-11-04 13:00:00
11,vsMinnesota,2018-11-18 13:00:00
13,@New York,2018-12-02 13:00:00
15,vsGreen Bay,2018-12-16 13:00:00
17,@Minnesota,2018-12-30 13:00:00
1,@Cincinnati,2018-08-09 00:00:00
3,vsKansas City,2018-08-25 00:00:00
