Week,Team,Date
1,@Indianapolis,2018-09-09 00:00:00
2,vsBaltimore,2018-09-13 20:20:00
4,@Atlanta,2018-09-30 13:00:00
6,vsPittsburgh,2018-10-14 13:00:00
8,vsTampa Bay,2018-10-28 13:00:00
10,vsNew Orleans,2018-11-11 13:00:00
12,vsCleveland,2018-11-25 13:00:00
14,@Los Angeles,2018-12-09 16:05:00
16,@Cleveland,2018-12-23 13:00:00
1,vsChicago,2018-08-09 00:00:00
3,@Buffalo,2018-08-26 00:00:00
3,@Carolina,2018-09-23 13:00:00
5,vsMiami,2018-10-07 13:00:00
7,@Kansas City,2018-10-21 13:00:00
9,BYE WEEK
11,@Baltimore,2018-11-18 13:00:00
13,vsDenver,2018-12-02 13:00:00
15,vsOakland,2018-12-16 13:00:00
17,@Pittsburgh,2018-12-30 13:00:00
2,@Dallas,2018-08-18 00:00:00
4,vsIndianapolis,2018-08-30 00:00:00
