Week,Team,Date
1,@Baltimore,2018-09-09 00:00:00
2,vsLos Angeles,2018-09-16 13:00:00
4,@Green Bay,2018-09-30 13:00:00
6,@Houston,2018-10-14 13:00:00
8,vsNew England,2018-10-29 20:15:00
10,@New York,2018-11-11 13:00:00
12,vsJacksonville,2018-11-25 13:00:00
14,vsNew York,2018-12-09 13:00:00
16,@New England,2018-12-23 13:00:00
1,vsCarolina,2018-08-09 00:00:00
3,vsCincinnati,2018-08-26 00:00:00
3,@Minnesota,2018-09-23 13:00:00
5,vsTennessee,2018-10-07 13:00:00
7,@Indianapolis,2018-10-21 13:00:00
9,vsChicago,2018-11-04 13:00:00
11,BYE WEEK,BYE WEEK
13,@Miami,2018-12-02 13:00:00
15,vsDetroit,2018-12-16 13:00:00
17,vsMiami,2018-12-30 13:00:00
2,@Cleveland,2018-08-17 00:00:00
4,@Chicago,2018-08-30 00:00:00
