Week,Team,Date
1,vsSeattle,2018-09-09 00:00:00
2,vsOakland,2018-09-16 16:25:00
4,vsKansas City,2018-10-01 20:15:00
6,vsLos Angeles,2018-10-14 16:05:00
8,@Kansas City,2018-10-28 13:00:00
10,BYE WEEK
12,vsPittsburgh,2018-11-25 16:25:00
14,@San Francisco,2018-12-09 16:05:00
16,@Oakland,2018-12-24 20:15:00
1,vsMinnesota,2018-08-11 00:00:00
3,@Washington,2018-08-24 00:00:00
3,@Baltimore,2018-09-23 13:00:00
5,@New York,2018-10-07 13:00:00
7,@Arizona,2018-10-18 20:20:00
9,vsHouston,2018-11-04 16:05:00
11,@Los Angeles,2018-11-18 16:05:00
13,@Cincinnati,2018-12-02 13:00:00
15,vsCleveland,2018-12-15 16:30:00
17,vsLos Angeles,2018-12-30 16:25:00
2,vsChicago,2018-08-18 00:00:00
4,@Arizona,2018-08-30 00:00:00
