Week,Team,Date
1,vsPittsburgh,2018-09-09 00:00:00
2,@New Orleans,2018-09-16 13:00:00
4,@Oakland,2018-09-30 16:05:00
6,vsLos Angeles,2018-10-14 13:00:00
8,@Pittsburgh,2018-10-28 13:00:00
10,vsAtlanta,2018-11-11 13:00:00
12,@Cincinnati,2018-11-25 13:00:00
14,vsCarolina,2018-12-09 13:00:00
16,vsCincinnati,2018-12-23 13:00:00
1,@New York,2018-08-09 00:00:00
3,vsPhiladelphia,2018-08-23 00:00:00
3,vsNew York,2018-09-20 20:20:00
5,vsBaltimore,2018-10-07 13:00:00
7,@Tampa Bay,2018-10-21 13:00:00
9,vsKansas City,2018-11-04 13:00:00
11,BYE WEEK,BYE WEEK
13,@Houston,2018-12-02 13:00:00
15,@Denver,2018-12-15 16:30:00
17,@Baltimore,2018-12-30 13:00:00
2,vsBuffalo,2018-08-17 00:00:00
4,@Detroit,2018-08-30 00:00:00
