Week,Team,Date
1,@New Orleans,2018-09-09 00:00:00
2,vsPhiladelphia,2018-09-16 13:00:00
4,@Chicago,2018-09-30 13:00:00
6,@Atlanta,2018-10-14 13:00:00
8,@Cincinnati,2018-10-28 13:00:00
10,vsWashington,2018-11-11 13:00:00
12,vsSan Francisco,2018-11-25 13:00:00
14,vsNew Orleans,2018-12-09 13:00:00
16,@Dallas,2018-12-23 13:00:00
1,@Miami,2018-08-09 00:00:00
3,vsDetroit,2018-08-24 00:00:00
3,vsPittsburgh,2018-09-24 20:15:00
5,BYE WEEK,BYE WEEK
7,vsCleveland,2018-10-21 13:00:00
9,@Carolina,2018-11-04 13:00:00
11,@New York,2018-11-18 13:00:00
13,vsCarolina,2018-12-02 13:00:00
15,@Baltimore,2018-12-16 13:00:00
17,vsAtlanta,2018-12-30 13:00:00
2,@Tennessee,2018-08-18 00:00:00
4,vsJacksonville,2018-08-30 00:00:00
