Week,Team,Date
1,vsWashington,2018-09-09 00:00:00
2,@Los Angeles,2018-09-16 16:05:00
4,vsSeattle,2018-09-30 16:05:00
6,@Minnesota,2018-10-14 13:00:00
8,vsSan Francisco,2018-10-28 16:25:00
10,@Kansas City,2018-11-11 13:00:00
12,@Los Angeles,2018-11-25 16:05:00
14,vsDetroit,2018-12-09 16:25:00
16,vsLos Angeles,2018-12-23 16:05:00
1,vsLos Angeles,2018-08-11 00:00:00
3,@Dallas,2018-08-26 00:00:00
3,vsChicago,2018-09-23 16:25:00
5,@San Francisco,2018-10-07 16:25:00
7,vsDenver,2018-10-18 20:20:00
9,BYE WEEK,BYE WEEK
11,vsOakland,2018-11-18 16:05:00
13,@Green Bay,2018-12-02 13:00:00
15,@Atlanta,2018-12-16 13:00:00
17,@Seattle,2018-12-30 16:25:00
2,@New Orleans,2018-08-17 00:00:00
4,vsDenver,2018-08-30 00:00:00
