Week,Team,Date
1,vsKansas City,2018-09-09 00:00:00
2,@Buffalo,2018-09-16 13:00:00
4,vsSan Francisco,2018-09-30 16:25:00
6,@Cleveland,2018-10-14 13:00:00
8,BYE WEEK
10,@Oakland,2018-11-11 16:05:00
12,vsArizona,2018-11-25 16:05:00
14,vsCincinnati,2018-12-09 16:05:00
16,vsBaltimore,2018-12-23 16:05:00
1,@Arizona,2018-08-11 00:00:00
3,vsNew Orleans,2018-08-25 00:00:00
3,@Los Angeles,2018-09-23 16:05:00
5,vsOakland,2018-10-07 16:05:00
7,vsTennessee,2018-10-21 09:30:00
9,@Seattle,2018-11-04 16:05:00
11,vsDenver,2018-11-18 16:05:00
13,@Pittsburgh,2018-12-02 13:00:00
15,@Kansas City,2018-12-13 20:20:00
17,@Denver,2018-12-30 16:25:00
2,vsSeattle,2018-08-18 00:00:00
4,@San Francisco,2018-08-30 00:00:00
