Week,Team,Date
1,@Los Angeles,2018-09-09 00:00:00
2,@Pittsburgh,2018-09-16 13:00:00
4,@Denver,2018-10-01 20:15:00
6,@New England,2018-10-14 20:20:00
8,vsDenver,2018-10-28 13:00:00
10,vsArizona,2018-11-11 13:00:00
12,BYE WEEK
14,vsBaltimore,2018-12-09 13:00:00
16,@Seattle,2018-12-23 20:20:00
1,vsHouston,2018-08-09 00:00:00
3,@Chicago,2018-08-25 00:00:00
3,vsSan Francisco,2018-09-23 13:00:00
5,vsJacksonville,2018-10-07 13:00:00
7,vsCincinnati,2018-10-21 13:00:00
9,@Cleveland,2018-11-04 13:00:00
11,@Los Angeles,2018-11-19 20:15:00
13,@Oakland,2018-12-02 16:05:00
15,vsLos Angeles,2018-12-13 20:20:00
17,vsOakland,2018-12-30 13:00:00
2,@Atlanta,2018-08-17 00:00:00
4,vsGreen Bay,2018-08-30 00:00:00
