Week,Team,Date
1,vsCincinnati,2018-09-09 00:00:00
2,@Washington,2018-09-16 13:00:00
4,vsHouston,2018-09-30 13:00:00
6,@New York,2018-10-14 13:00:00
8,@Oakland,2018-10-28 16:05:00
10,vsJacksonville,2018-11-11 13:00:00
12,vsMiami,2018-11-25 13:00:00
14,@Houston,2018-12-09 13:00:00
16,vsNew York,2018-12-23 13:00:00
1,@Seattle,2018-08-09 00:00:00
3,vsSan Francisco,2018-08-25 00:00:00
3,@Philadelphia,2018-09-23 13:00:00
5,@New England,2018-10-04 20:20:00
7,vsBuffalo,2018-10-21 13:00:00
9,BYE WEEK,BYE WEEK
11,vsTennessee,2018-11-18 13:00:00
13,@Jacksonville,2018-12-02 13:00:00
15,vsDallas,2018-12-16 13:00:00
17,@Tennessee,2018-12-30 13:00:00
2,vsBaltimore,2018-08-20 00:00:00
4,@Cincinnati,2018-08-30 00:00:00
