Week,Team,Date
1,@Carolina,2018-09-09 00:00:00
2,vsNew York,2018-09-16 20:20:00
4,vsDetroit,2018-09-30 13:00:00
6,vsJacksonville,2018-10-14 16:25:00
8,BYE WEEK,BYE WEEK
10,@Philadelphia,2018-11-11 20:20:00
12,vsWashington,2018-11-22 16:30:00
14,vsPhiladelphia,2018-12-09 16:25:00
16,vsTampa Bay,2018-12-23 13:00:00
1,@San Francisco,2018-08-09 00:00:00
3,vsArizona,2018-08-26 00:00:00
3,@Seattle,2018-09-23 16:25:00
5,@Houston,2018-10-07 20:20:00
7,@Washington,2018-10-21 16:25:00
9,vsTennessee,2018-11-05 20:15:00
11,@Atlanta,2018-11-18 13:00:00
13,vsNew Orleans,2018-11-29 20:20:00
15,@Indianapolis,2018-12-16 13:00:00
17,@New York,2018-12-30 13:00:00
2,vsCincinnati,2018-08-18 00:00:00
4,@Houston,2018-08-30 00:00:00
