Week,Team,Date
1,@Oakland,2018-09-10 00:00:00
2,vsArizona,2018-09-16 16:05:00
4,vsMinnesota,2018-09-27 20:20:00
6,@Denver,2018-10-14 16:05:00
8,vsGreen Bay,2018-10-28 16:25:00
10,vsSeattle,2018-11-11 16:25:00
12,BYE WEEK
14,@Chicago,2018-12-09 13:00:00
16,@Arizona,2018-12-23 16:05:00
1,@Baltimore,2018-08-09 00:00:00
3,vsHouston,2018-08-25 00:00:00
3,vsLos Angeles,2018-09-23 16:05:00
5,@Seattle,2018-10-07 16:25:00
7,@San Francisco,2018-10-21 20:20:00
9,@New Orleans,2018-11-04 16:25:00
11,vsKansas City,2018-11-19 20:15:00
13,@Detroit,2018-12-02 13:00:00
15,vsPhiladelphia,2018-12-16 20:20:00
17,vsSan Francisco,2018-12-30 16:25:00
2,vsOakland,2018-08-18 00:00:00
4,@New Orleans,2018-08-30 00:00:00
