Week,Team,Date
1,vsAtlanta,2018-09-06 00:00:00
2,@Tampa Bay,2018-09-16 13:00:00
4,@Tennessee,2018-09-30 13:00:00
6,@New York,2018-10-11 20:20:00
8,@Jacksonville,2018-10-28 09:30:00
10,vsDallas,2018-11-11 20:20:00
12,vsNew York,2018-11-25 13:00:00
14,@Dallas,2018-12-09 16:25:00
16,vsHouston,2018-12-23 13:00:00
1,vsPittsburgh,2018-08-09 00:00:00
3,@Cleveland,2018-08-23 00:00:00
3,vsIndianapolis,2018-09-23 13:00:00
5,vsMinnesota,2018-10-07 16:25:00
7,vsCarolina,2018-10-21 13:00:00
9,BYE WEEK
11,@New Orleans,2018-11-18 13:00:00
13,vsWashington,2018-12-03 20:15:00
15,@Los Angeles,2018-12-16 20:20:00
17,@Washington,2018-12-30 13:00:00
2,@New England,2018-08-16 00:00:00
4,vsNew York,2018-08-30 00:00:00
