Week,Team,Date
1,@Philadelphia,2018-09-06 00:00:00
2,vsCarolina,2018-09-16 13:00:00
4,vsCincinnati,2018-09-30 13:00:00
6,vsTampa Bay,2018-10-14 13:00:00
8,BYE WEEK
10,@Cleveland,2018-11-11 13:00:00
12,@New Orleans,2018-11-22 20:20:00
14,@Green Bay,2018-12-09 13:00:00
16,@Carolina,2018-12-23 13:00:00
1,@New York,2018-08-10 00:00:00
3,@Jacksonville,2018-08-25 00:00:00
3,vsNew Orleans,2018-09-23 13:00:00
5,@Pittsburgh,2018-10-07 13:00:00
7,vsNew York,2018-10-22 20:15:00
9,@Washington,2018-11-04 13:00:00
11,vsDallas,2018-11-18 13:00:00
13,vsBaltimore,2018-12-02 13:00:00
15,vsArizona,2018-12-16 13:00:00
17,@Tampa Bay,2018-12-30 13:00:00
2,vsKansas City,2018-08-17 00:00:00
4,vsMiami,2018-08-30 00:00:00
