Week,Team,Date
1,vsJacksonville,2018-09-09 00:00:00
2,@Dallas,2018-09-16 20:20:00
4,vsNew Orleans,2018-09-30 16:25:00
6,vsPhiladelphia,2018-10-11 20:20:00
8,vsWashington,2018-10-28 13:00:00
10,@San Francisco,2018-11-12 20:15:00
12,@Philadelphia,2018-11-25 13:00:00
14,@Washington,2018-12-09 13:00:00
16,@Indianapolis,2018-12-23 13:00:00
1,vsCleveland,2018-08-09 00:00:00
3,@New York,2018-08-24 00:00:00
3,@Houston,2018-09-23 13:00:00
5,@Carolina,2018-10-07 13:00:00
7,@Atlanta,2018-10-22 20:15:00
9,BYE WEEK
11,vsTampa Bay,2018-11-18 13:00:00
13,vsChicago,2018-12-02 13:00:00
15,vsTennessee,2018-12-16 13:00:00
17,vsDallas,2018-12-30 13:00:00
2,@Detroit,2018-08-17 00:00:00
4,vsNew England,2018-08-30 00:00:00
