Week,Team,Date
1,@New York,2018-09-09 00:00:00
2,vsNew England,2018-09-16 16:25:00
4,vsNew York,2018-09-30 13:00:00
6,@Dallas,2018-10-14 16:25:00
8,vsPhiladelphia,2018-10-28 09:30:00
10,@Indianapolis,2018-11-11 13:00:00
12,@Buffalo,2018-11-25 13:00:00
14,@Tennessee,2018-12-06 20:20:00
16,@Miami,2018-12-23 13:00:00
1,vsNew Orleans,2018-08-09 00:00:00
3,vsAtlanta,2018-08-25 00:00:00
3,vsTennessee,2018-09-23 13:00:00
5,@Kansas City,2018-10-07 13:00:00
7,vsHouston,2018-10-21 13:00:00
9,BYE WEEK,BYE WEEK
11,vsPittsburgh,2018-11-18 20:20:00
13,vsIndianapolis,2018-12-02 13:00:00
15,vsWashington,2018-12-16 13:00:00
17,@Houston,2018-12-30 13:00:00
2,@Minnesota,2018-08-18 00:00:00
4,@Tampa Bay,2018-08-30 00:00:00
