Week,Team,Date
1,@Detroit,2018-09-10 00:00:00
2,vsMiami,2018-09-16 13:00:00
4,@Jacksonville,2018-09-30 13:00:00
6,vsIndianapolis,2018-10-14 13:00:00
8,@Chicago,2018-10-28 13:00:00
10,vsBuffalo,2018-11-11 13:00:00
12,vsNew England,2018-11-25 13:00:00
14,@Buffalo,2018-12-09 13:00:00
16,vsGreen Bay,2018-12-23 13:00:00
1,vsAtlanta,2018-08-10 00:00:00
3,vsNew York,2018-08-24 00:00:00
3,@Cleveland,2018-09-20 20:20:00
5,vsDenver,2018-10-07 13:00:00
7,vsMinnesota,2018-10-21 13:00:00
9,@Miami,2018-11-04 13:00:00
11,BYE WEEK
13,@Tennessee,2018-12-02 16:05:00
15,vsHouston,2018-12-15 16:30:00
17,@New England,2018-12-30 13:00:00
2,@Washington,2018-08-16 00:00:00
4,@Philadelphia,2018-08-30 00:00:00
