Week,Team,Date
1,vsNew York,2018-09-10 00:00:00
2,@San Francisco,2018-09-16 16:05:00
4,@Dallas,2018-09-30 13:00:00
6,BYE WEEK,BYE WEEK
8,vsSeattle,2018-10-28 13:00:00
10,@Chicago,2018-11-11 13:00:00
12,vsChicago,2018-11-22 12:30:00
14,@Arizona,2018-12-09 16:25:00
16,vsMinnesota,2018-12-23 13:00:00
1,@Oakland,2018-08-10 00:00:00
3,@Tampa Bay,2018-08-24 00:00:00
3,vsNew England,2018-09-23 20:20:00
5,vsGreen Bay,2018-10-07 13:00:00
7,@Miami,2018-10-21 13:00:00
9,@Minnesota,2018-11-04 13:00:00
11,vsCarolina,2018-11-18 13:00:00
13,vsLos Angeles,2018-12-02 13:00:00
15,@Buffalo,2018-12-16 13:00:00
17,@Green Bay,2018-12-30 13:00:00
2,vsNew York,2018-08-17 00:00:00
4,vsCleveland,2018-08-30 00:00:00
