Week,Team,Date
1,vsChicago,2018-09-09 00:00:00
2,vsMinnesota,2018-09-16 13:00:00
4,vsBuffalo,2018-09-30 13:00:00
6,vsSan Francisco,2018-10-15 20:15:00
8,@Los Angeles,2018-10-28 16:25:00
10,vsMiami,2018-11-11 13:00:00
12,@Minnesota,2018-11-25 20:20:00
14,vsAtlanta,2018-12-09 13:00:00
16,@New York,2018-12-23 13:00:00
1,vsTennessee,2018-08-09 00:00:00
3,@Oakland,2018-08-24 00:00:00
3,@Washington,2018-09-23 13:00:00
5,@Detroit,2018-10-07 13:00:00
7,BYE WEEK
9,@New England,2018-11-04 20:20:00
11,@Seattle,2018-11-15 20:20:00
13,vsArizona,2018-12-02 13:00:00
15,@Chicago,2018-12-16 13:00:00
17,vsDetroit,2018-12-30 13:00:00
2,vsPittsburgh,2018-08-16 00:00:00
4,@Kansas City,2018-08-30 00:00:00
