Week,Team,Date
1,vsDallas,2018-09-09 00:00:00
2,@Atlanta,2018-09-16 13:00:00
4,BYE WEEK
6,@Washington,2018-10-14 13:00:00
8,vsBaltimore,2018-10-28 13:00:00
10,@Pittsburgh,2018-11-08 20:20:00
12,vsSeattle,2018-11-25 13:00:00
14,@Cleveland,2018-12-09 13:00:00
16,vsAtlanta,2018-12-23 13:00:00
1,@Buffalo,2018-08-09 00:00:00
3,vsNew England,2018-08-24 00:00:00
3,vsCincinnati,2018-09-23 13:00:00
5,vsNew York,2018-10-07 13:00:00
7,@Philadelphia,2018-10-21 13:00:00
9,vsTampa Bay,2018-11-04 13:00:00
11,@Detroit,2018-11-18 13:00:00
13,@Tampa Bay,2018-12-02 13:00:00
15,vsNew Orleans,2018-12-17 20:15:00
17,@New Orleans,2018-12-30 13:00:00
2,vsMiami,2018-08-17 00:00:00
4,@Pittsburgh,2018-08-30 00:00:00
