Week,Team,Date
1,vsHouston,2018-09-09 00:00:00
2,@Jacksonville,2018-09-16 16:25:00
4,vsMiami,2018-09-30 13:00:00
6,vsKansas City,2018-10-14 20:20:00
8,@Buffalo,2018-10-29 20:15:00
10,@Tennessee,2018-11-11 13:00:00
12,@New York,2018-11-25 13:00:00
14,@Miami,2018-12-09 13:00:00
16,vsBuffalo,2018-12-23 13:00:00
1,vsWashington,2018-08-09 00:00:00
3,@Carolina,2018-08-24 00:00:00
3,@Detroit,2018-09-23 20:20:00
5,vsIndianapolis,2018-10-04 20:20:00
7,@Chicago,2018-10-21 13:00:00
9,vsGreen Bay,2018-11-04 20:20:00
11,BYE WEEK,BYE WEEK
13,vsMinnesota,2018-12-02 16:25:00
15,@Pittsburgh,2018-12-16 16:25:00
17,vsNew York,2018-12-30 13:00:00
2,vsPhiladelphia,2018-08-16 00:00:00
4,@New York,2018-08-30 00:00:00
