Week,Team,Date
1,vsLos Angeles,2018-09-10 00:00:00
2,@Denver,2018-09-16 16:25:00
4,vsCleveland,2018-09-30 16:05:00
6,vsSeattle,2018-10-14 13:00:00
8,vsIndianapolis,2018-10-28 16:05:00
10,vsLos Angeles,2018-11-11 16:05:00
12,@Baltimore,2018-11-25 13:00:00
14,vsPittsburgh,2018-12-09 20:20:00
16,vsDenver,2018-12-24 20:15:00
1,vsDetroit,2018-08-10 00:00:00
3,vsGreen Bay,2018-08-24 00:00:00
3,@Miami,2018-09-23 13:00:00
5,@Los Angeles,2018-10-07 16:05:00
7,BYE WEEK,BYE WEEK
9,@San Francisco,2018-11-01 20:20:00
11,@Arizona,2018-11-18 16:05:00
13,vsKansas City,2018-12-02 16:05:00
15,@Cincinnati,2018-12-16 13:00:00
17,@Kansas City,2018-12-30 13:00:00
2,@Los Angeles,2018-08-18 00:00:00
4,@Seattle,2018-08-30 00:00:00
