Week,Team,Date
1,vsBuffalo,2018-09-09 00:00:00
2,@Cincinnati,2018-09-13 20:20:00
4,@Pittsburgh,2018-09-30 20:20:00
6,@Tennessee,2018-10-14 16:25:00
8,@Carolina,2018-10-28 13:00:00
10,BYE WEEK,BYE WEEK
12,vsOakland,2018-11-25 13:00:00
14,@Kansas City,2018-12-09 13:00:00
16,@Los Angeles,2018-12-23 16:05:00
HOF,vsChicago,2018-08-02 00:00:00
2,@Indianapolis,2018-08-20 00:00:00
4,vsWashington,2018-08-30 00:00:00
3,vsDenver,2018-09-23 13:00:00
5,@Cleveland,2018-10-07 13:00:00
7,vsNew Orleans,2018-10-21 16:05:00
9,vsPittsburgh,2018-11-04 13:00:00
11,vsCincinnati,2018-11-18 13:00:00
13,@Atlanta,2018-12-02 13:00:00
15,vsTampa Bay,2018-12-16 13:00:00
17,vsCleveland,2018-12-30 13:00:00
1,vsLos Angeles,2018-08-09 00:00:00
3,@Miami,2018-08-25 00:00:00
