Week,Team,Date
1,@Arizona,2018-09-09 00:00:00
2,vsIndianapolis,2018-09-16 13:00:00
4,BYE WEEK,BYE WEEK
6,vsCarolina,2018-10-14 13:00:00
8,@New York,2018-10-28 13:00:00
10,@Tampa Bay,2018-11-11 13:00:00
12,@Dallas,2018-11-22 16:30:00
14,vsNew York,2018-12-09 13:00:00
16,@Tennessee,2018-12-23 13:00:00
1,@New England,2018-08-09 00:00:00
3,vsDenver,2018-08-24 00:00:00
3,vsGreen Bay,2018-09-23 13:00:00
5,@New Orleans,2018-10-08 20:15:00
7,vsDallas,2018-10-21 16:25:00
9,vsAtlanta,2018-11-04 13:00:00
11,vsHouston,2018-11-18 13:00:00
13,@Philadelphia,2018-12-03 20:15:00
15,@Jacksonville,2018-12-16 13:00:00
17,vsPhiladelphia,2018-12-30 13:00:00
2,vsNew York,2018-08-16 00:00:00
4,@Baltimore,2018-08-30 00:00:00
