Week,Team,Date
1,vsTampa Bay,2018-09-09 00:00:00
2,vsCleveland,2018-09-16 13:00:00
4,@New York,2018-09-30 16:25:00
6,BYE WEEK,BYE WEEK
8,@Minnesota,2018-10-28 20:20:00
10,@Cincinnati,2018-11-11 13:00:00
12,vsAtlanta,2018-11-22 20:20:00
14,@Tampa Bay,2018-12-09 13:00:00
16,vsPittsburgh,2018-12-23 16:25:00
1,@Jacksonville,2018-08-09 00:00:00
3,@Los Angeles,2018-08-25 00:00:00
3,@Atlanta,2018-09-23 13:00:00
5,vsWashington,2018-10-08 20:15:00
7,@Baltimore,2018-10-21 16:05:00
9,vsLos Angeles,2018-11-04 16:25:00
11,vsPhiladelphia,2018-11-18 13:00:00
13,@Dallas,2018-11-29 20:20:00
15,@Carolina,2018-12-17 20:15:00
17,vsCarolina,2018-12-30 13:00:00
2,vsArizona,2018-08-17 00:00:00
4,vsLos Angeles,2018-08-30 00:00:00
