Week,Team,Date
1,@Denver,2018-09-09 00:00:00
2,@Chicago,2018-09-17 20:15:00
4,@Arizona,2018-09-30 16:05:00
6,@Oakland,2018-10-14 13:00:00
8,@Detroit,2018-10-28 13:00:00
10,@Los Angeles,2018-11-11 16:25:00
12,@Carolina,2018-11-25 13:00:00
14,vsMinnesota,2018-12-10 20:15:00
16,vsKansas City,2018-12-23 20:20:00
1,vsIndianapolis,2018-08-09 00:00:00
3,@Minnesota,2018-08-24 00:00:00
3,vsDallas,2018-09-23 16:25:00
5,vsLos Angeles,2018-10-07 16:25:00
7,BYE WEEK
9,vsLos Angeles,2018-11-04 16:05:00
11,vsGreen Bay,2018-11-15 20:20:00
13,vsSan Francisco,2018-12-02 20:20:00
15,@San Francisco,2018-12-16 16:05:00
17,vsArizona,2018-12-30 16:25:00
2,@Los Angeles,2018-08-18 00:00:00
4,vsOakland,2018-08-30 00:00:00
