Week,Team,Date
1,@Cleveland,2018-09-09 00:00:00
2,vsKansas City,2018-09-16 13:00:00
4,vsBaltimore,2018-09-30 20:20:00
6,@Cincinnati,2018-10-14 13:00:00
8,vsCleveland,2018-10-28 13:00:00
10,vsCarolina,2018-11-08 20:20:00
12,@Denver,2018-11-25 16:25:00
14,@Oakland,2018-12-09 20:20:00
16,@New Orleans,2018-12-23 16:25:00
1,@Philadelphia,2018-08-09 00:00:00
3,vsTennessee,2018-08-25 00:00:00
3,@Tampa Bay,2018-09-24 20:15:00
5,vsAtlanta,2018-10-07 13:00:00
7,BYE WEEK,BYE WEEK
9,@Baltimore,2018-11-04 13:00:00
11,@Jacksonville,2018-11-18 20:20:00
13,vsLos Angeles,2018-12-02 13:00:00
15,vsNew England,2018-12-16 16:25:00
17,vsCincinnati,2018-12-30 13:00:00
2,@Green Bay,2018-08-16 00:00:00
4,vsCarolina,2018-08-30 00:00:00
