Week,Team,Date
1,@New England,2018-09-09 00:00:00
2,@Tennessee,2018-09-16 13:00:00
4,@Indianapolis,2018-09-30 13:00:00
6,vsBuffalo,2018-10-14 13:00:00
8,vsMiami,2018-10-25 20:20:00
10,BYE WEEK
12,vsTennessee,2018-11-26 20:15:00
14,vsIndianapolis,2018-12-09 13:00:00
16,@Philadelphia,2018-12-23 13:00:00
1,@Kansas City,2018-08-09 00:00:00
3,@Los Angeles,2018-08-25 00:00:00
3,vsNew York,2018-09-23 13:00:00
5,vsDallas,2018-10-07 20:20:00
7,@Jacksonville,2018-10-21 13:00:00
9,@Denver,2018-11-04 16:05:00
11,@Washington,2018-11-18 13:00:00
13,vsCleveland,2018-12-02 13:00:00
15,@New York,2018-12-15 16:30:00
17,vsJacksonville,2018-12-30 13:00:00
2,vsSan Francisco,2018-08-18 00:00:00
4,vsDallas,2018-08-30 00:00:00
