Week,Team,Date
1,@Miami,2018-09-09 00:00:00
2,vsHouston,2018-09-16 13:00:00
4,vsPhiladelphia,2018-09-30 13:00:00
6,vsBaltimore,2018-10-14 16:25:00
8,BYE WEEK,BYE WEEK
10,vsNew England,2018-11-11 13:00:00
12,@Houston,2018-11-26 20:15:00
14,vsJacksonville,2018-12-06 20:20:00
16,vsWashington,2018-12-23 13:00:00
1,@Green Bay,2018-08-09 00:00:00
3,@Pittsburgh,2018-08-25 00:00:00
3,@Jacksonville,2018-09-23 13:00:00
5,@Buffalo,2018-10-07 13:00:00
7,@Los Angeles,2018-10-21 09:30:00
9,@Dallas,2018-11-05 20:15:00
11,@Indianapolis,2018-11-18 13:00:00
13,vsNew York,2018-12-02 16:05:00
15,@New York,2018-12-16 13:00:00
17,vsIndianapolis,2018-12-30 13:00:00
2,vsTampa Bay,2018-08-18 00:00:00
4,vsMinnesota,2018-08-30 00:00:00
