Week,Team,Date
1,vsSan Francisco,2018-09-09 00:00:00
2,@Green Bay,2018-09-16 13:00:00
4,@Los Angeles,2018-09-27 20:20:00
6,vsArizona,2018-10-14 13:00:00
8,vsNew Orleans,2018-10-28 20:20:00
10,BYE WEEK,BYE WEEK
12,vsGreen Bay,2018-11-25 20:20:00
14,@Seattle,2018-12-10 20:15:00
16,@Detroit,2018-12-23 13:00:00
1,@Denver,2018-08-11 00:00:00
3,vsSeattle,2018-08-24 00:00:00
3,vsBuffalo,2018-09-23 13:00:00
5,@Philadelphia,2018-10-07 16:25:00
7,@New York,2018-10-21 13:00:00
9,vsDetroit,2018-11-04 13:00:00
11,@Chicago,2018-11-18 13:00:00
13,@New England,2018-12-02 16:25:00
15,vsMiami,2018-12-16 13:00:00
17,vsChicago,2018-12-30 13:00:00
2,vsJacksonville,2018-08-18 00:00:00
4,@Tennessee,2018-08-30 00:00:00
